"s_ds_municipio","s_ds_municipio_rdo","municipio","cod_ibge"
JERIQUARA,JERIQUARA,Jeriquara,3525409
JOAO RAMALHO,JOAO RAMALHO,Joao Ramalho,3525607
JOSE BONIFACIO,JOSE BONIFACIO,Jose Bonifacio,3525706
JUMIRIM,JUMIRIM,Jumirim,3525854
JUNDIAI,JUNDIAI,Jundiai,3525904
JUQUITIBA,JUQUITIBA,Juquitiba,3526209
LAGOINHA,LAGOINHA,Lagoinha,3526308
LAVINIA,LAVINIA,Lavinia,3526506
LAVRINHAS,LAVRINHAS,Lavrinhas,3526605
LENCOIS PAULISTA,LENCOIS PAULISTA,Lencois Paulista,3526803
LIMEIRA,LIMEIRA,Limeira,3526902
LINS,LINS,Lins,3527108
LUTECIA,LUTECIA,Lutecia,3527900
MAGDA,MAGDA,Magda,3528304
PIRANGI,PIRANGI,Pirangi,3539004
PIRAPOZINHO,PIRAPOZINHO,Pirapozinho,3539202
POMPEIA,POMPEIA,Pompeia,3540002
PRESIDENTE ALVES,PRESIDENTE ALVES,Presidente Alves,3541109
QUADRA,QUADRA,Quadra,3541653
QUINTANA,QUINTANA,Quintana,3542008
RIBEIRA,RIBEIRA,Ribeira,3542800
SANTA CRUZ DA ESPERANCA,S.CRUZ DA ESPERANCA,Santa Cruz da Esperanca,3546256
BURITAMA,BURITAMA,Buritama,3508108
LOURDES,LOURDES,Lourdes,3527256
LOUVEIRA,LOUVEIRA,Louveira,3527306
LUCELIA,LUCELIA,Lucelia,3527405
LUIS ANTONIO,LUIS ANTONIO,Luis Antonio,3527603
RIBEIRAO DO SUL,RIBEIRAO DO SUL,Ribeirao do Sul,3543204
RIFAINA,RIFAINA,Rifaina,3543600
RINCAO,RINCAO,Rincao,3543709
RUBINEIA,RUBINEIA,Rubineia,3544509
SALES,S.ANASTACIO,Sales,3544806
SALTINHO,S.ANTONIO DE POSSE,Saltinho,3545159
SANTA ADELIA,SANTA ADELIA,Santa Adelia,3545605
BOM SUCESSO DE ITARARE,BOM SUCESSO DE ITARARE,Bom Sucesso de Itarare,3507159
BRAGANCA PAULISTA,BRAGANCA PAULISTA,Braganca Paulista,3507605
CACHOEIRA PAULISTA,CACHOEIRA PAULISTA,Cachoeira Paulista,3508603
CAIEIRAS,CAIEIRAS,Caieiras,3509007
CAIUA,CAIUA,Caiua,3509106
CAJAMAR,CAJAMAR,Cajamar,3509205
CAJOBI,CAJOBI,Cajobi,3509304
CAMPINAS,CAMPINAS,Campinas,3509502
CAMPOS NOVOS PAULISTA,CAMPOS NOVOS PAUL.,Campos Novos Paulista,3509809
CANDIDO RODRIGUES,CANDIDO RODRIGUES,Candido Rodrigues,3510104
CAPAO BONITO,CAPAO BONITO,Capao Bonito,3510203
CAPELA DO ALTO,CAPELA DO ALTO,Capela do Alto,3510302
CAPIVARI,CAPIVARI,Capivari,3510401
CARAPICUIBA,CARAPICUIBA,Carapicuiba,3510609
CASA BRANCA,CASA BRANCA,Casa Branca,3510807
CEDRAL,CEDRAL,Cedral,3511300
CERQUEIRA CESAR,CERQUEIRA CESAR,Cerqueira Cesar,3511409
CHAVANTES,CHAVANTES,Chavantes,3557204
CLEMENTINA,CLEMENTINA,Clementina,3511904
COLOMBIA,COLOMBIA,Colombia,3512100
CONCHAL,CONCHAL,Conchal,3512209
ESTRELA DO NORTE,ESTRELA DO NORTE,Estrela do Norte,3515301
FARTURA,FARTURA,Fartura,3515400
FERNANDO PRESTES,FERNANDO PRESTES,Fernando Prestes,3515608
FLORA RICA,FLORA RICA,Flora Rica,3515806
FRANCA,FRANCA,Franca,3516200
CORDEIROPOLIS,CORDEIROPOLIS,Cordeiropolis,3512407
COROADOS,COROADOS,Coroados,3512506
CORUMBATAI,CORUMBATAI,Corumbatai,3512704
COSMORAMA,COSMORAMA,Cosmorama,3512902
CRUZEIRO,CRUZEIRO,Cruzeiro,3513405
CUBATAO,CUBATAO,Cubatao,3513504
CUNHA,CUNHA,Cunha,3513603
DIADEMA,DIADEMA,Diadema,3513801
FRANCISCO MORATO,FRANCISCO MORATO,Francisco Morato,3516309
FRANCO DA ROCHA,FRANCO DA ROCHA,Franco da Rocha,3516408
GASTAO VIDIGAL,GASTAO VIDIGAL,Gastao Vidigal,3516804
GAVIAO PEIXOTO,GAVIAO PEIXOTO,Gaviao Peixoto,3516853
GETULINA,GETULINA,Getulina,3517000
DIRCE REIS,DIRCE REIS,Dirce Reis,3513850
DIVINOLANDIA,DIVINOLANDIA,Divinolandia,3513900
DOLCINOPOLIS,DOLCINOPOLIS,Dolcinopolis,3514205
DRACENA,DRACENA,Dracena,3514403
DUARTINA,DUARTINA,Duartina,3514502
DUMONT,DUMONT,Dumont,3514601
ELDORADO,ELDORADO,Eldorado,3514809
ELIAS FAUSTO,ELIAS FAUSTO,Elias Fausto,3514908
EMBU DAS ARTES,EMBU,Embu das Artes,3515004
EMBU-GUACU,EMBU-GUACU,Embu-Guacu,3515103
EMILIANOPOLIS,EMILIANOPOLIS,Emilianopolis,3515129
ESPIRITO SANTO DO PINHAL,ESPIRITO STO. PINHAL,Espirito Santo do Pinhal,3515186
ESTRELA D OESTE,ESTRELA D OESTE,Estrela d Oeste,3515202
GLICERIO,GLICERIO,Glicerio,3517109
GUAIMBE,GUAIMBE,Guaimbe,3517307
GUAIRA,GUAIRA,Guaira,3517406
GUAPIACU,GUAPIACU,Guapiacu,3517505
GUARA,GUARA,Guara,3517703
GUARACAI,GUARACAI,Guaracai,3517802
GUARARAPES,GUARARAPES,Guararapes,3518206
GUARAREMA,GUARAREMA,Guararema,3518305
GUARUJA,GUARUJA,Guaruja,3518701
GUATAPARA,GUATAPARA,Guatapara,3518859
SANTA GERTRUDES,S.GERTRUDES,Santa Gertrudes,3546702
SANTA MARIA DA SERRA,S.MARIA DA SERRA,Santa Maria da Serra,3547007
SAO CARLOS,S.CARLOS,Sao Carlos,3548906
INDAIATUBA,INDAIATUBA,Indaiatuba,3520509
INDIANA,INDIANA,Indiana,3520608
INUBIA PAULISTA,INUBIA PAULISTA,Inubia Paulista,3520806
SANTA SALETE,S.SALETE,Santa Salete,3547650
SANTO ANTONIO DO ARACANGUA,S.ANTONIO DE ARACANGUA,Santo Antonio do Aracangua,3548054
ITANHAEM,ITANHAEM,Itanhaem,3522109
ITAPECERICA DA SERRA,ITAPECERICA DA SERRA,Itapecerica da Serra,3522208
ITAPETININGA,ITAPETININGA,Itapetininga,3522307
ITAPEVI,ITAPEVI,Itapevi,3522505
ITAPIRA,ITAPIRA,Itapira,3522604
BANANAL,BANANAL,Bananal,3504909
NOVA INDEPENDENCIA,NOVA INDEPENDENCIA,Nova Independencia,3533205
NOVAIS,NOVAIS,Novais,3533254
OLEO,OLEO,Oleo,3533809
OSCAR BRESSANE,OSCAR BRESSANE,Oscar Bressane,3534500
OURINHOS,OURINHOS,Ourinhos,3534708
PALMITAL,PALMITAL,Palmital,3535309
PARAGUACU PAULISTA,PARAGUACU PAULISTA,Paraguacu Paulista,3535507
PARANAPANEMA,PARANAPANEMA,Paranapanema,3535804
SAO JOSE DO RIO PARDO,S.JOSE DO RIO PARDO,Sao Jose do Rio Pardo,3549706
BROTAS,BROTAS,Brotas,3507902
SAO BENTO DO SAPUCAI,S.BENTO DO SAPUCAI,Sao Bento do Sapucai,3548609
SAO JOAO DO PAU D ALHO,S.JOAO DO PAU D ALHO,Sao Joao do Pau d Alho,3549300
SAO JOSE DO BARREIRO,S.JOSE DO BARREIRO,Sao Jose do Barreiro,3549607
SAO PEDRO DO TURVO,S.PEDRO DO TURVO,Sao Pedro do Turvo,3550506
SAO SEBASTIAO DA GRAMA,S.SEBASTIAO DA GRAMA,Sao Sebastiao da Grama,3550803
SERRA NEGRA,SERRA NEGRA,Serra Negra,3551603
MANDURI,MANDURI,Manduri,3528601
MARABA PAULISTA,MARABA PAULISTA,Maraba Paulista,3528700
ALUMINIO,ALUMINIO,Aluminio,3501152
AMPARO,AMPARO,Amparo,3501905
PARAPUA,PARAPUA,Parapua,3536000
SANTOS,SANTOS,Santos,3548500
ADAMANTINA,ADAMANTINA,Adamantina,3500105
BOCAINA,BOCAINA,Bocaina,3506805
CABREUVA,CABREUVA,Cabreuva,3508405
AGUAS DA PRATA,AGUAS DA PRATA,Aguas da Prata,3500402
ALTO ALEGRE,ALTO ALEGRE,Alto Alegre,3501103
PINDORAMA,PINDORAMA,Pindorama,3538105
GUZOLANDIA,GUZOLANDIA,Guzolandia,3518909
TAMBAU,TAMBAU,Tambau,3553302
ITOBI,ITOBI,Itobi,3523800
SEVERINIA,SEVERINIA,Severinia,3551900
SUZANAPOLIS,SUZANAPOLIS,Suzanapolis,3552551
TABATINGA,TABATINGA,Tabatinga,3552700
TAQUARITUBA,TAQUARITUBA,Taquarituba,3553807
MIRASSOLANDIA,MIRASSOLANDIA,Mirassolandia,3530409
MOCOCA,MOCOCA,Mococa,3530508
MOGI DAS CRUZES,MOGI DAS CRUZES,Mogi das Cruzes,3530607
MOGI GUACU,MOGI-GUACU,Mogi Guacu,3530706
MONCOES,MONCOES,Moncoes,3531001
MONTE ALEGRE DO SUL,MONTE ALEGRE DO SUL,Monte Alegre do Sul,3531209
MONTE ALTO,MONTE ALTO,Monte Alto,3531308
TARUMA,TARUMA,Taruma,3553955
TEJUPA,TEJUPA,Tejupa,3554201
TERRA ROXA,TERRA ROXA,Terra Roxa,3554409
TORRINHA,TORRINHA,Torrinha,3554706
TUPA,TUPA,Tupa,3555000
UBIRAJARA,UBIRAJARA,Ubirajara,3555505
URU,URU,Uru,3555901
VERA CRUZ,VERA CRUZ,Vera Cruz,3556602
IRAPURU,IRAPURU,Irapuru,3521606
ITAI,ITAI,Itai,3521804
ITAJOBI,ITAJOBI,Itajobi,3521903
AMERICO BRASILIENSE,AMERICO BRASILIENSE,Americo Brasiliense,3501707
AMERICO DE CAMPOS,AMERICO DE CAMPOS,Americo de Campos,3501806
ANALANDIA,ANALANDIA,Analandia,3502002
ANGATUBA,ANGATUBA,Angatuba,3502200
ANHUMAS,ANHUMAS,Anhumas,3502408
APARECIDA D OESTE,APARECIDA D OESTE,Aparecida d Oeste,3502606
ARACARIGUAMA,ARACARIGUAMA,Aracariguama,3502754
ARACATUBA,ARACATUBA,Aracatuba,3502804
ARAMINA,ARAMINA,Aramina,3503000
MONTE APRAZIVEL,MONTE APRAZIVEL,Monte Aprazivel,3531407
MONTE MOR,MONTE MOR,Monte Mor,3531803
MONTEIRO LOBATO,MONTEIRO LOBATO,Monteiro Lobato,3531704
MOTUCA,MOTUCA,Motuca,3532058
MURUTINGA DO SUL,MURUTINGA DO SUL,Murutinga do Sul,3532108
NARANDIBA,NARANDIBA,Narandiba,3532207
NEVES PAULISTA,NEVES PAULISTA,Neves Paulista,3532504
NIPOA,NIPOA,Nipoa,3532702
VOTUPORANGA,VOTUPORANGA,Votuporanga,3557105
ALTINOPOLIS,ALTINOPOLIS,Altinopolis,3501004
ALVARO DE CARVALHO,ALVARO DE CARVALHO,Alvaro de Carvalho,3501400
ARANDU,ARANDU,Arandu,3503109
ARAPEI,ARAPEI,Arapei,3503158
ARARAQUARA,ARARAQUARA,Araraquara,3503208
AREALVA,AREALVA,Arealva,3503406
AREIAS,AREIAS,Areias,3503505
AREIOPOLIS,AREIOPOLIS,Areiopolis,3503604
ARTUR NOGUEIRA,ARTUR NOGUEIRA,Artur Nogueira,3503802
ARUJA,ARUJA,Aruja,3503901
NOVA EUROPA,NOVA EUROPA,Nova Europa,3532900
NOVA GRANADA,NOVA GRANADA,Nova Granada,3533007
AMERICANA,AMERICANA,Americana,3501608
AVAI,AVAI,Avai,3504305
CAFELANDIA,CAFELANDIA,Cafelandia,3508801
CHARQUEADA,CHARQUEADA,Charqueada,3511706
GUARACI,GUARACI,Guaraci,3517901
IEPE,IEPE,Iepe,3519907
ASPASIA,ASPASIA,Aspasia,3503950
ATIBAIA,ATIBAIA,Atibaia,3504107
AURIFLAMA,AURIFLAMA,Auriflama,3504206
AVANHANDAVA,AVANHANDAVA,Avanhandava,3504404
AVARE,AVARE,Avare,3504503
BADY BASSITT,BADY BASSITT,Bady Bassitt,3504602
BARAO DE ANTONINA,BARAO DE ANTONINA,Barao de Antonina,3505005
BARIRI,BARIRI,Bariri,3505203
NOVA GUATAPORANGA,NOVA GUATAPORANGA,Nova Guataporanga,3533106
NOVA ODESSA,NOVA ODESSA,Nova Odessa,3533403
NUPORANGA,NUPORANGA,Nuporanga,3533601
BARRA BONITA,BARRA BONITA,Barra Bonita,3505302
BARRA DO CHAPEU,BARRA DO CHAPEU,Barra do Chapeu,3505351
BARRETOS,BARRETOS,Barretos,3505500
BASTOS,BASTOS,Bastos,3505807
BATATAIS,BATATAIS,Batatais,3505906
BAURU,BAURU,Bauru,3506003
BERTIOGA,BERTIOGA,Bertioga,3506359
BILAC,BILAC,Bilac,3506409
BIRIGUI,BIRIGUI,Birigui,3506508
BOFETE,BOFETE,Bofete,3506904
JALES,JALES,Jales,3524808
JAMBEIRO,JAMBEIRO,Jambeiro,3524907
JARINU,JARINU,Jarinu,3525201
JAU,JAU,Jau,3525300
JUQUIA,JUQUIA,Juquia,3526100
LEME,LEME,Leme,3526704
LUCIANOPOLIS,LUCIANOPOLIS,Lucianopolis,3527504
MACATUBA,MACATUBA,Macatuba,3528007
MACAUBAL,MACAUBAL,Macaubal,3528106
MACEDONIA,MACEDONIA,Macedonia,3528205
MAIRINQUE,MAIRINQUE,Mairinque,3528403
MAIRIPORA,MAIRIPORA,Mairipora,3528502
MARAPOAMA,MARAPOAMA,Marapoama,3528858
MARIAPOLIS,MARIAPOLIS,Mariapolis,3528908
OCAUCU,OCAUCU,Ocaucu,3533700
OLIMPIA,OLIMPIA,Olimpia,3533908
MARINOPOLIS,MARINOPOLIS,Marinopolis,3529104
MARTINOPOLIS,MARTINOPOLIS,Martinopolis,3529203
MAUA,MAUA,Maua,3529401
MESOPOLIS,MESOPOLIS,Mesopolis,3529658
ORIENTE,ORIENTE,Oriente,3534104
ARARAS,ARARAS,Araras,3503307
FLORIDA PAULISTA,FLORIDA PAULISTA,Florida Paulista,3516002
ITABERA,ITABERA,Itabera,3521705
ITAOCA,ITAOCA,Itaoca,3522158
ITAPEVA,ITAPEVA,Itapeva,3522406
ITAPORANGA,ITAPORANGA,Itaporanga,3522802
ITATIBA,ITATIBA,Itatiba,3523404
MINEIROS DO TIETE,MINEIROS DO TIETE,Mineiros do Tiete,3529807
MIRANDOPOLIS,MIRANDOPOLIS,Mirandopolis,3530102
MIRANTE DO PARANAPANEMA,MIRANTE PARANAPANEMA,Mirante do Paranapanema,3530201
NOVA CAMPINA,NOVA CAMPINA,Nova Campina,3532827
ORLANDIA,ORLANDIA,Orlandia,3534302
OSASCO,OSASCO,Osasco,3534401
OSVALDO CRUZ,OSVALDO CRUZ,Osvaldo Cruz,3534609
OURO VERDE,OURO VERDE,Ouro Verde,3534807
OUROESTE,OUROESTE,Ouroeste,3534757
PACAEMBU,PACAEMBU,Pacaembu,3534906
IGARATA,IGARATA,Igarata,3520202
IGUAPE,IGUAPE,Iguape,3520301
ILHA COMPRIDA,ILHA COMPRIDA,Ilha Comprida,3520426
PALMARES PAULISTA,PALMARES PAULISTA,Palmares Paulista,3535101
PANORAMA,PANORAMA,Panorama,3535408
HERCULANDIA,HERCULANDIA,Herculandia,3519006
HOLAMBRA,HOLAMBRA,Holambra,3519055
HORTOLANDIA,HORTOLANDIA,Hortolandia,3519071
IACRI,IACRI,Iacri,3519204
IBIRAREMA,IBIRAREMA,Ibirarema,3519501
ICEM,ICEM,Icem,3519808
ILHABELA,ILHABELA,Ilhabela,3520400
IGARACU DO TIETE,IGARACU DO TIETE,Igaracu do Tiete,3520004
IPAUSSU,IPAUSSU,Ipaussu,3520905
IPEUNA,IPEUNA,Ipeuna,3521101
IPIGUA,IPIGUA,Ipigua,3521150
IRACEMAPOLIS,IRACEMAPOLIS,Iracemapolis,3521408
ADOLFO,ADOLFO,Adolfo,3500204
AGUAS DE SANTA BARBARA,AGUAS DE SANTA BARBARA,Aguas de Santa Barbara,3500550
APIAI,APIAI,Apiai,3502705
ARACOIABA DA SERRA,ARACOIABA DA SERRA,Aracoiaba da Serra,3502903
SANTA RITA DO PASSA QUATRO,S.RITA PASSA QUATRO,Santa Rita do Passa Quatro,3547502
SUD MENNUCCI,SUD MENUCCI,Sud Mennucci,3552304
CANITAR,CANITAR,Canitar,3510153
CASTILHO,CASTILHO,Castilho,3511003
MOGI MIRIM,MOGI-MIRIM,Mogi Mirim,3530805
NOVO HORIZONTE,NOVO HORIZONTE,Novo Horizonte,3533502
RIO DAS PEDRAS,RIO DAS PEDRAS,Rio das Pedras,3544004
SANTO ANTONIO DA ALEGRIA,S.ANTONIO DA ALEGRIA,Santo Antonio da Alegria,3547908
SAO MANUEL,S.MANUEL,Sao Manuel,3550100
VARZEA PAULISTA,VARZEA PAULISTA,Varzea Paulista,3556503
BARBOSA,BARBOSA,Barbosa,3505104
BARRINHA,BARRINHA,Barrinha,3505609
BOITUVA,BOITUVA,Boituva,3507001
BOM JESUS DOS PERDOES,BOM JESUS DOS PERDOES,Bom Jesus dos Perdoes,3507100
ITUVERAVA,ITUVERAVA,Ituverava,3524105
JANDIRA,JANDIRA,Jandira,3525003
ALAMBARI,ALAMBARI,Alambari,3500758
GUAREI,GUAREI,Guarei,3518503
BOTUCATU,BOTUCATU,Botucatu,3507506
CONCHAS,CONCHAS,Conchas,3512308
DOBRADA,DOBRADA,Dobrada,3514007
ITARARE,ITARARE,Itarare,3523206
JULIO MESQUITA,JULIO MESQUITA,Julio Mesquita,3525805
MIRACATU,MIRACATU,Miracatu,3529906
CERQUILHO,CERQUILHO,Cerquilho,3511508
IPORANGA,IPORANGA,Iporanga,3521200
ITAPOLIS,ITAPOLIS,Itapolis,3522703
POPULINA,POPULINA,Populina,3540408
SANTA ALBERTINA,S.ALBERTINA,Santa Albertina,3545704
ALVINLANDIA,ALVINLANDIA,Alvinlandia,3501509
MONGAGUA,MONGAGUA,Mongagua,3531100
MONTE AZUL PAULISTA,MONTE AZUL PAULISTA,Monte Azul Paulista,3531506
MORRO AGUDO,MORRO AGUDO,Morro Agudo,3531902
ESPIRITO SANTO DO TURVO,ESPIRITO S.DO TURVO,Espirito Santo do Turvo,3515194
LINDOIA,LINDOIA,Lindoia,3527009
PIRAJUI,PIRAJUI,Pirajui,3538907
SANTA CRUZ DAS PALMEIRAS,S.CRUZ DAS PALMEIRAS,Santa Cruz das Palmeiras,3546306
AGUAS DE LINDOIA,AGUAS DE LINDOIA,Aguas de Lindoia,3500501
ALFREDO MARCONDES,ALFREDO MARCONDES,Alfredo Marcondes,3500808
BORA,BORA,Bora,3507209
MORUNGABA,MORUNGABA,Morungaba,3532009
NAZARE PAULISTA,NAZARE PAULISTA,Nazare Paulista,3532405
LARANJAL PAULISTA,LARANJAL PAULISTA,Laranjal Paulista,3526407
ANHEMBI,ANHEMBI,Anhembi,3502309
CORONEL MACEDO,CORONEL MACEDO,Coronel Macedo,3512605
IARAS,IARAS,Iaras,3519253
PARDINHO,PARDINHO,Pardinho,3536109
PRATANIA,PRATANIA,Pratania,3541059
SAO JOAQUIM DA BARRA,S.JOAQUIM DA BARRA,Sao Joaquim da Barra,3549409
MIGUELOPOLIS,MIGUELOPOLIS,Miguelopolis,3529708
CRISTAIS PAULISTA,CRISTAIS PAULISTA,Cristais Paulista,3513207
